Year,State,State ANSI,County,County ANSI,Commodity,Value
2020,INDIANA,18,HUNTINGTON,69,CORN,186.1
2020,INDIANA,18,LAGRANGE,87,CORN,"45,500"
2020,INDIANA,18,LAGRANGE,87,CORN,"43,100"
2020,INDIANA,18,LAGRANGE,87,CORN,"6,184,000"
2020,INDIANA,18,LAGRANGE,87,CORN,143.5
2020,INDIANA,18,NOBLE,113,CORN,"61,300"
2020,INDIANA,18,NOBLE,113,CORN,"59,800"
2020,INDIANA,18,NOBLE,113,CORN,"10,483,000"
2020,INDIANA,18,NOBLE,113,CORN,175.3
2020,INDIANA,18,STEUBEN,151,CORN,"42,200"
2020,INDIANA,18,STEUBEN,151,CORN,"41,100"
2020,INDIANA,18,STEUBEN,151,CORN,"5,984,000"
2020,INDIANA,18,STEUBEN,151,CORN,145.6
2020,INDIANA,18,WELLS,179,CORN,"78,400"
2020,INDIANA,18,WELLS,179,CORN,"76,000"
2020,INDIANA,18,WELLS,179,CORN,"14,326,000"
2020,INDIANA,18,WELLS,179,CORN,188.5
2020,INDIANA,18,WHITLEY,183,CORN,"64,500"
2020,INDIANA,18,WHITLEY,183,CORN,"63,700"
2020,INDIANA,18,WHITLEY,183,CORN,"10,167,000"
2020,INDIANA,18,WHITLEY,183,CORN,159.6
2020,INDIANA,18,BENTON,7,CORN,"115,000"
2020,INDIANA,18,BENTON,7,CORN,"112,200"
2020,INDIANA,18,BENTON,7,CORN,"22,941,000"
2020,INDIANA,18,BENTON,7,CORN,204.5
2020,INDIANA,18,JASPER,73,CORN,"152,000"
2020,INDIANA,18,JASPER,73,CORN,"141,000"
2020,INDIANA,18,JASPER,73,CORN,"24,296,000"
2020,INDIANA,18,JASPER,73,CORN,172.3
2020,INDIANA,18,LA PORTE,91,CORN,"108,000"
2020,INDIANA,18,LA PORTE,91,CORN,"104,600"
2020,INDIANA,18,LA PORTE,91,CORN,"15,463,000"
2020,INDIANA,18,LA PORTE,91,CORN,147.8
2020,INDIANA,18,LAKE,89,CORN,"50,900"
2020,INDIANA,18,LAKE,89,CORN,"49,500"
2020,INDIANA,18,LAKE,89,CORN,"8,479,000"
2020,INDIANA,18,LAKE,89,CORN,171.3
2020,INDIANA,18,NEWTON,111,CORN,"103,000"
2020,INDIANA,18,NEWTON,111,CORN,"99,200"
2020,INDIANA,18,NEWTON,111,CORN,"19,136,000"
2020,INDIANA,18,NEWTON,111,CORN,192.9
2020,INDIANA,18,PORTER,127,CORN,"55,700"
2020,INDIANA,18,PORTER,127,CORN,"55,100"
2020,INDIANA,18,PORTER,127,CORN,"10,039,000"
2020,INDIANA,18,PORTER,127,CORN,182.2
2020,INDIANA,18,PULASKI,131,CORN,"96,700"
2020,INDIANA,18,PULASKI,131,CORN,"92,900"
2020,INDIANA,18,PULASKI,131,CORN,"16,044,000"
2020,INDIANA,18,PULASKI,131,CORN,172.7
2020,INDIANA,18,STARKE,149,CORN,"52,700"
2020,INDIANA,18,STARKE,149,CORN,"51,700"
2020,INDIANA,18,STARKE,149,CORN,"8,107,000"
2020,INDIANA,18,STARKE,149,CORN,156.8
2020,INDIANA,18,WHITE,181,CORN,"132,000"
2020,INDIANA,18,WHITE,181,CORN,"129,500"
2020,INDIANA,18,WHITE,181,CORN,"23,116,000"
2020,INDIANA,18,WHITE,181,CORN,178.5
2020,INDIANA,18,FLOYD,43,CORN,"1,900"
2020,INDIANA,18,FLOYD,43,CORN,"1,840"
2020,INDIANA,18,FLOYD,43,CORN,"315,000"
2020,INDIANA,18,FLOYD,43,CORN,171.2
2020,INDIANA,18,HARRISON,61,CORN,"20,900"
2020,INDIANA,18,HARRISON,61,CORN,"20,300"
2020,INDIANA,18,HARRISON,61,CORN,"3,695,000"
2020,INDIANA,18,HARRISON,61,CORN,182
2020,INDIANA,18,JACKSON,71,CORN,"55,600"
2020,INDIANA,18,JACKSON,71,CORN,"54,200"
2020,INDIANA,18,JACKSON,71,CORN,"10,049,000"
2020,INDIANA,18,JACKSON,71,CORN,185.4
2020,INDIANA,18,LAWRENCE,93,CORN,"20,600"
2020,INDIANA,18,LAWRENCE,93,CORN,"20,100"
2020,INDIANA,18,LAWRENCE,93,CORN,"3,686,000"
2020,INDIANA,18,LAWRENCE,93,CORN,183.4
2020,INDIANA,18,MONROE,105,CORN,"5,500"
2020,INDIANA,18,MONROE,105,CORN,"5,320"
